index;Latitude;Longitude;gares_id;nom_gare;nomlong;ligne;x;y;prix_moyen_2014;prix_moyen_2015;prix_moyen_2016;prix_moyen_2017;prix_moyen_2018;prix_moyen_2019;prix_moyen_global
213;48,84715848;2,410140368;702;Porte de Vincennes;PORTE DE VINCENNES;1;656712,3513;6860952,126;6948.24415041397;6886.0404413953;7338.71362742294;8925.52423734026;8484.27039137113;8032.15890275726;7769.15862511681
369;48,81922335;2,359705217;703;Porte d'Italie;PORTE D'ITALIE;7;652985,99;6857874,877;6288.32464965777;6503.3085647641;4743.17369062753;7028.94236123064;6389.58873489554;7542.31312673943;6415.9418546525
370;48,82135578;2,369290587;704;Porte d'Ivry;PORTE D'IVRY;7;653691,6801;6858106,313;5518.9484468608;5141.61452142721;17413.151027738;6599.28839165869;6677.47507420014;7476.12424483699;8137.76695112032
51;48,83478516;2,405383211;705;Porte Dorée;PORTE DOREE;8;656352,887;6859578,951;7034.1118484392;6554.42972175754;7107.94913119076;7598.68037428199;7222.53302603525;7876.64073479651;7232.39080608354
371;48,82341163;2,325575636;706;Porte d'Orléans;PORTE D'ORLEANS;4;650484,043;6858361,423;7823.35072489396;8898.35241820639;7915.31077491513;8733.70175948256;8617.84791759402;8695.97961622738;8447.42386855324
53;48,87999579;2,398946662;709;Pré Saint-Gervais;PRE SAINT-GERVAIS;7b;655918,6953;6864609,584;5846.85226497865;8085.60175294295;5633.21804994107;6340.0187356175;6770.65181504616;7185.0717970635;6643.56906926497
120;48,86590674;2,334189542;714;Pyramides;PYRAMIDES;14;651156,2996;6863081,082;16271.748638491;23378.2892664109;17668.6255498358;15786.9870147923;13788.4526478599;22792.094886999;18281.0330007315
121;48,86598092;2,334330724;715;Pyramides;PYRAMIDES;7;651166,726;6863089,243;16118.9640305589;22961.7062416319;16707.9888909759;15762.1462809036;13731.2853334752;23900.709587331;18197.1333941461
122;48,87388185;2,385316215;716;Pyrénées;PYRENEES;11;654913,7648;6863937,448;7856.69522125769;5853.61799493119;6449.5251595521;7672.15882626559;7830.29361425888;8187.95416784879;7308.37416401904
286;48,83704512;2,372825722;717;Quai de la Gare;QUAI DE LA GARE;6;653965,0895;6859848,724;5819.19686945194;6739.67384318279;8568.15662234279;7588.82806936874;7690.60710169736;7453.10825500703;7309.92846017511
123;48,8465154;2,365873469;718;Quai de la Rapée;QUAI DE LA RAPEE;5;653463,2581;6860905,8;8725.11051157023;8146.25469138365;7686.52070841159;7564.22232420012;8780.6697992168;10085.2372722723;8498.00255117579
215;48,86958524;2,336218848;719;Quatre Septembre;QUATRE SEPTEMBRE;3;651308,6039;6863488,85;44387.1993820406;22230.4457256617;15948.2765808445;13530.5208959575;17402.7510457711;29709.6612855386;23868.142485969
287;48,86120499;2,35349574;721;Rambuteau;RAMBUTEAU;11;652568,2852;6862546,516;9575.45333854876;9668.96930527321;10129.2386073899;11754.8808411789;11959.3194598244;13100.8137644887;11031.4458861173
288;48,85548505;2,270109139;722;Ranelagh;RANELAGH;9;646444,7925;6861963,833;8773.67864945159;8577.88736313192;8841.01568907289;9211.60042634921;9886.74658681565;10604.2480522497;9315.86279451184
216;48,83896428;2,330754192;723;Raspail;RASPAIL;4;650878,8981;6860087,464;8526.63567732998;9300.910037809;11900.4362667379;9316.52742687825;9100.21194828723;11539.3796276529;9947.35016411588
372;48,83896428;2,330754192;724;Raspail;RASPAIL;6;650878,8981;6860087,464;8526.63567732998;9300.910037809;11900.4362667379;9316.52742687825;9100.21194828723;11539.3796276529;9947.35016411588
373;48,8663403;2,352068318;725;Réaumur Sébastopol;REAUMUR-SEBASTOPOL;3;652468,2482;6863118,38;9043.64785817394;9384.12074637533;9573.48288031387;10672.578982257;10010.7618347732;12039.8951143376;10120.7479027051
289;48,86606969;2,352459744;726;Réaumur Sébastopol;REAUMUR-SEBASTOPOL;4;652496,7155;6863088,054;9067.02352193453;9460.43993329297;9597.11875025359;10081.5653509254;10352.0760546158;12223.2018820728;10130.2375821825
54;48,84845785;2,327782127;728;Rennes;RENNES;12;650669,7472;6861144,904;10714.9972756524;11167.057751798;11734.7053273208;12415.5334958746;13888.1853289699;13888.2103308971;12301.4482517521
374;48,86750342;2,363826144;729;République;REPUBLIQUE;11;653331,8161;6863240,697;8462.48533317329;8391.02961292476;8604.88646150053;9858.70386441213;13067.6552982494;11537.8548718354;9987.1025736826
55;48,86702679;2,364247994;730;République;REPUBLIQUE;3;653362,3346;6863187,449;8521.91346483328;8403.58024938198;8742.99248353515;9995.30666912906;13321.5650552378;11507.5816538167;10082.156595989
56;48,86738447;2,36426495;731;République;REPUBLIQUE;5;653363,8987;6863227,211;8515.29259159689;8360.28807001656;8560.64345845641;9852.49782307982;13139.6093729467;11347.6521508865;9962.66391116383
124;48,86715873;2,363957837;732;République;REPUBLIQUE;8;653341,1678;6863202,291;8533.53335072466;8388.62334710458;8604.2336076811;9928.92982652339;13179.1415467766;11463.5048283142;10016.3277511874
217;48,86711164;2,364234946;733;République;REPUBLIQUE;9;653361,4534;6863196,892;8531.82811368368;8387.77995712765;8638.51366251231;9957.54797704353;13262.5316085267;11568.2443415769;10057.7409434118
290;48,84730379;2,386341706;734;Reuilly-Diderot;REUILLY-DIDEROT;1;654966,0143;6860981,593;8820.73053044666;8199.36537950092;7590.09240309875;8408.39947628274;23555.6975740778;8763.65636606582;10889.6569549121
291;48,84712872;2,387025242;735;Reuilly Diderot;REUILLY-DIDEROT;8;655016,0242;6860961,737;8142.02962674906;7601.77802517447;7570.93985474802;8347.68710704213;40477.1728054555;8649.89279897065;13464.9167030233
52;48,85987362;2,37191398;736;Richard Lenoir;RICHARD LENOIR;5;653918,3594;6862387,573;8399.58129070809;7493.93833994605;8118.84036970004;9619.67854049828;10431.3871418447;10187.7892360144;9041.86915311861
125;48,8717866;2,339030547;737;Richelieu-Drouot;RICHELIEU-DROUOT;8;651516,8991;6863731,894;34722.970300636;11472.3266337616;10346.0186391041;11753.3503894506;14742.6558185942;23116.441315294;17692.2938494734
126;48,87215235;2,339115039;738;Richelieu-Drouot;RICHELIEU-DROUOT;9;651523,437;6863772,511;33574.2981903992;10980.4676442405;10189.5851253711;11719.4745921124;15213.5575913503;21954.6965579312;17272.0132835675
375;48,88826762;2,374204012;739;Riquet;RIQUET;7;654111,394;6865543,46;5933.11708158321;5722.32526136601;6038.24406667858;6456.30356926315;6551.79785183992;7603.01284441284;6384.13344585729
218;48,8822269;2,321274927;746;Rome;ROME;2;650224,5081;6864903,83;8721.9071313397;8022.16520861783;10145.9055058756;9596.82236349782;9503.5655210085;10377.4313425906;9394.63284548837
293;48,86397445;2,278112558;751;Rue de la Pompe (Av. G. Mandel);RUE DE LA POMPE (AVENUE GEORGES MANDEL);9;647040,651;6862902,376;9434.41758426953;9102.82781570606;9504.38039249217;10205.4224196974;11316.6937462854;11762.3169541831;10221.0098187723
376;48,85555094;2,325712422;752;Rue du Bac;RUE DU BAC;12;650524,602;6861934,884;14373.0089206804;12188.599928661;14059.2183627742;15408.0555989791;17832.842252437;16559.8169819071;15070.2570075731
